epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2653.62,1.00279,1.69681,1.01851,0.8474,0.81147,0.8188,0.64414,0.9593,0.81912,0.98596,0.00060759,0.00060759,0.00060759
43,2716.72,0.93019,1.38245,1.00802,0.86586,0.82664,0.83716,0.68159,0.90845,0.73693,0.97251,0.000602092,0.000602092,0.000602092
44,2779.73,0.96003,2.26895,1.01808,0.93356,0.79678,0.84744,0.69578,0.89565,0.7008,0.96619,0.000596595,0.000596595,0.000596595
45,2842.89,0.94129,1.40202,1.00576,0.84484,0.82732,0.85593,0.69186,0.87604,0.63087,0.95871,0.000591097,0.000591097,0.000591097
46,2905.89,0.95744,1.48435,1.0301,0.96857,0.82996,0.85694,0.68946,0.89954,0.65534,0.95386,0.000585599,0.000585599,0.000585599
47,2968.97,0.86364,1.571,0.98119,0.95539,0.79127,0.85733,0.68975,0.93599,0.7784,0.97884,0.000580101,0.000580101,0.000580101
48,3032.06,0.90702,1.98794,0.98436,0.94596,0.83167,0.85338,0.6827,0.93554,0.69383,1.00072,0.000574603,0.000574603,0.000574603
49,3095.06,0.9057,1.59771,0.98409,0.94395,0.83705,0.85194,0.68278,0.93221,0.69367,0.99223,0.000569106,0.000569106,0.000569106
50,3158.05,0.92594,1.74178,1.00566,0.94886,0.83682,0.84551,0.67623,0.91918,0.64291,0.98294,0.000563608,0.000563608,0.000563608
51,3221.22,0.90466,1.25924,1.00786,0.90228,0.81393,0.83883,0.66658,0.95346,0.77096,1.00509,0.00055811,0.00055811,0.00055811
52,3284.24,0.93293,1.31336,1.00911,0.95094,0.79396,0.84788,0.67957,0.9273,0.72425,0.99028,0.000552612,0.000552612,0.000552612
53,3347.34,0.9506,1.24103,1.00789,0.9489,0.84693,0.85899,0.69744,0.90013,0.65245,0.98267,0.000547114,0.000547114,0.000547114
54,3410.54,0.89845,1.03108,0.98115,0.92899,0.84184,0.8583,0.69384,0.88761,0.63873,0.97338,0.000541617,0.000541617,0.000541617
55,3473.6,0.92698,1.51442,0.9932,0.96911,0.83756,0.85949,0.70118,0.88523,0.59875,0.96497,0.000536119,0.000536119,0.000536119
56,3536.77,0.89191,1.05884,0.98486,0.98835,0.8424,0.86034,0.6983,0.87368,0.5891,0.9493,0.000530621,0.000530621,0.000530621
57,3599.84,0.94059,1.50613,1.00777,0.93896,0.8416,0.85981,0.69255,0.89027,0.61763,0.98175,0.000525123,0.000525123,0.000525123
58,3662.94,0.89516,1.16132,0.99416,0.94777,0.84428,0.8557,0.68979,0.89894,0.62049,1.01525,0.000519625,0.000519625,0.000519625
59,3726.01,0.89752,1.55158,0.97603,0.94694,0.83714,0.85238,0.68541,0.91077,0.61536,0.99201,0.000514128,0.000514128,0.000514128
